player_id,name,position,team,bye_week,adp,pass_yd,pass_td,pass_int,rush_yd,rush_td,rec,rec_yd,rec_td,fum_lost,fpts
dk-metcalf,DK Metcalf,WR,,12,42,,,,29,,73,1031,6.9,,
garrett-wilson,Garrett Wilson,WR,,14,43,,,,27,,71,1003,6.6,,
marvin-harrison-jr,Marvin Harrison Jr.,WR,,5,46,,,,25,,69,975,6.4,,
dj-moore,DJ Moore,WR,,6,49,,,,23,,67,947,6.1,,
zay-flowers,Zay Flowers,WR,,7,52,,,,21,,65,919,5.8,,
xavier-worthy,Xavier Worthy,WR,,8,53,,,,19,,63,891,5.6,,
devonta-smith,DeVonta Smith,WR,,9,56,,,,17,,61,863,5.3,,
jaxon-smith-njigba,Jaxon Smith-Njigba,WR,,10,59,,,,15,,59,835,5.1,,
chris-olave,Chris Olave,WR,,11,62,,,,14,,58,806,4.8,,
rome-odunze,Rome Odunze,WR,,12,63,,,,12,,56,778,4.5,,
jordan-addison,Jordan Addison,WR,,14,66,,,,10,,54,750,4.3,,
calvin-ridley,Calvin Ridley,WR,,5,69,,,,8,,52,722,4.0,,
cooper-kupp,Cooper Kupp,WR,,6,72,,,,6,,50,694,3.8,,
jerry-jeudy,Jerry Jeudy,WR,,7,73,,,,4,,48,666,3.5,,
courtland-sutton,Courtland Sutton,WR,,8,76,,,,2,,46,638,3.3,,
jameson-williams,Jameson Williams,WR,,9,79,,,,0,,44,610,3.0,,
brock-bowers,Brock Bowers,TE,,5,5,,,,,,88,1020,8.0,,
trey-mcbride,Trey McBride,TE,,6,15,,,,,,84,970,7.6,,
george-kittle,George Kittle,TE,,7,25,,,,,,80,920,7.1,,
sam-laporta,Sam LaPorta,TE,,8,35,,,,,,76,870,6.7,,
tj-hockenson,T.J. Hockenson,TE,,9,45,,,,,,71,820,6.3,,
travis-kelce,Travis Kelce,TE,,10,55,,,,,,67,770,5.9,,
mark-andrews,Mark Andrews,TE,,11,65,,,,,,63,720,5.4,,
david-njoku,David Njoku,TE,,12,75,,,,,,59,670,5.0,,
dallas-goedert,Dallas Goedert,TE,,14,81,,,,,,55,620,4.6,,
evan-engram,Evan Engram,TE,,5,83,,,,,,51,570,4.1,,
jonnu-smith,Jonnu Smith,TE,,6,85,,,,,,47,520,3.7,,
kyle-pitts,Kyle Pitts,TE,,7,87,,,,,,42,470,3.3,,
dalton-kincaid,Dalton Kincaid,TE,,8,89,,,,,,38,420,2.9,,
tucker-kraft,Tucker Kraft,TE,,9,91,,,,,,34,370,2.4,,
jake-ferguson,Jake Ferguson,TE,,10,93,,,,,,30,320,2.0,,
brandon-aubrey,Brandon Aubrey,K,,5,96,,,,,,,,,,165
harrison-butker,Harrison Butker,K,,6,97,,,,,,,,,,159
jake-bates,Jake Bates,K,,7,98,,,,,,,,,,152
chris-boswell,Chris Boswell,K,,8,99,,,,,,,,,,146
kaimi-fairbairn,Ka'imi Fairbairn,K,,9,100,,,,,,,,,,139
jason-sanders,Jason Sanders,K,,10,101,,,,,,,,,,133
cameron-dicker,Cameron Dicker,K,,11,102,,,,,,,,,,126
younghoe-koo,Younghoe Koo,K,,12,103,,,,,,,,,,120
Ravens,Ravens DEF,DEF,,5,104,,,,,,,,,,150
Broncos,Broncos DEF,DEF,,6,105,,,,,,,,,,144
Eagles,Eagles DEF,DEF,,7,106,,,,,,,,,,138
Bills,Bills DEF,DEF,,8,107,,,,,,,,,,132
Steelers,Steelers DEF,DEF,,9,108,,,,,,,,,,126
Texans,Texans DEF,DEF,,10,109,,,,,,,,,,119
Chiefs,Chiefs DEF,DEF,,11,110,,,,,,,,,,113
Vikings,Vikings DEF,DEF,,12,111,,,,,,,,,,107
Lions,Lions DEF,DEF,,14,112,,,,,,,,,,101
Packers,Packers DEF,DEF,,5,113,,,,,,,,,,95
